agent,seed,sticky_target,max_carry,urgent_threshold,score_mean,score_std,steps_mean,steps_std,deliveries_mean
smart,5,True,2.0,10.0,-79.8,127.62915027531916,201.6,29.039628096792146,6.0
smart,5,True,2.0,15.0,-16.2,34.25200724045235,186.0,10.862780491200215,6.0
smart,5,True,3.0,7.0,-121.6,125.67537547188789,202.6,23.839043604977107,6.0
smart,5,True,3.0,10.0,-39.4,60.838310298692555,187.2,21.879213879844947,6.0
smart,5,True,3.0,15.0,-73.2,61.844158980456676,204.6,16.712270940838646,6.0
smart,10,False,1.0,7.0,-296.4,101.94998773908705,280.8,22.698017534577772,6.0
smart,10,False,1.0,10.0,-328.4,105.96367302052151,271.8,13.330416347586445,6.0
smart,10,False,1.0,15.0,-378.4,116.28542471006415,301.8,26.789923478800755,6.0
smart,10,False,2.0,7.0,-458.4,95.5290531723203,305.8,17.796066981218072,6.0
smart,10,False,2.0,10.0,-432.4,155.01387034714023,305.0,25.109759058979442,6.0
smart,10,False,2.0,15.0,-423.4,145.44345980483274,296.0,23.075961518428652,6.0
smart,10,False,3.0,7.0,-522.0,115.93317040433251,317.4,11.148990985734986,6.0
smart,10,False,3.0,10.0,-376.8,141.12476749316542,293.2,27.243347811897127,6.0
smart,10,False,3.0,15.0,-468.4,96.46398291590495,301.4,18.82285844392397,6.0
smart,10,True,1.0,7.0,-332.0,50.73460357586329,283.2,12.336936410632909,6.0
smart,10,True,1.0,10.0,-314.6,104.1287664384823,285.6,20.62280291328024,6.0
smart,10,True,1.0,15.0,-466.0,72.96231904209186,304.0,25.119713374160938,6.0
smart,10,True,2.0,7.0,-469.8,116.4096215954678,308.8,25.577333715616263,6.0
smart,10,True,2.0,10.0,-450.2,113.08713454677327,305.6,24.254896412889497,6.0
smart,10,True,2.0,15.0,-376.6,120.49398325227695,290.4,27.272696969680133,6.0
smart,10,True,3.0,7.0,-361.8,121.85113868979641,280.2,42.24570984135549,6.0
smart,10,True,3.0,10.0,-438.6,196.50394398077614,299.4,23.64952430811242,6.0
smart,10,True,3.0,15.0,-375.4,107.34430585736722,284.4,25.549951076274102,6.0
smart,15,False,1.0,7.0,119.4,32.315630892804805,150.4,6.693280212272608,6.0
smart,15,False,1.0,10.0,120.0,20.85665361461421,152.0,9.797958971132713,6.0
smart,15,False,1.0,15.0,71.2,77.38023003325848,161.8,28.048172846016193,6.0
smart,15,False,2.0,7.0,24.2,65.21272881884333,178.6,19.919839356781974,6.0
smart,15,False,2.0,10.0,79.2,36.60191251833707,168.8,9.418067742376879,6.0
smart,15,False,2.0,15.0,40.6,16.816658407662327,175.4,12.054044964243328,6.0
smart,15,False,3.0,7.0,54.2,58.94658599104786,167.6,17.03819239238717,6.0
smart,15,False,3.0,10.0,44.8,79.88554312264516,164.2,14.652644812456218,6.0
smart,15,False,3.0,15.0,23.6,41.02194534636308,175.4,13.575713609236164,6.0
smart,15,True,1.0,7.0,78.0,21.2367605815953,160.2,5.540758070878027,6.0
smart,15,True,1.0,10.0,35.0,106.05658866850281,174.0,19.811612756158947,6.0
smart,15,True,1.0,15.0,62.6,75.34454193901507,172.0,20.688160865577203,6.0
smart,15,True,2.0,7.0,53.8,68.08230313378066,166.8,21.440615662802227,6.0
smart,15,True,2.0,10.0,74.4,63.390062312636985,162.2,13.42385935563987,6.0
smart,15,True,2.0,15.0,82.8,67.12451117140444,161.0,21.224985276791124,6.0
smart,15,True,3.0,7.0,64.4,13.794926603646719,169.2,14.024977718342374,6.0
smart,15,True,3.0,10.0,76.4,41.16187556465327,159.0,13.711309200802088,6.0
smart,15,True,3.0,15.0,8.4,53.64046979660041,176.4,17.06751299984857,6.0
smart,16,False,1.0,7.0,36.2,55.3371484628545,189.8,16.31563667161046,6.0
smart,16,False,1.0,10.0,-48.4,61.43940103874712,204.6,17.896927110540513,6.0
smart,16,False,1.0,15.0,11.0,32.61134771824066,196.0,6.96419413859206,6.0
smart,16,False,2.0,7.0,-117.0,76.7430778637396,222.8,19.25357109733153,6.0
smart,16,False,2.0,10.0,-43.2,35.26613106083512,206.4,10.114346246792225,6.0
smart,16,False,2.0,15.0,-93.6,121.60098683810095,217.8,31.371962004312067,6.0
smart,16,False,3.0,7.0,-66.2,31.877892025665687,210.6,16.334013591276335,6.0
smart,16,False,3.0,10.0,-25.2,31.830802691732423,204.4,14.028542333400145,6.0
smart,16,False,3.0,15.0,-27.8,61.271526829351984,204.2,12.676750372236569,6.0
smart,16,True,1.0,7.0,-50.2,32.21335126931068,214.2,16.73917560694074,6.0
